wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4110;2;796;0;
dolnośląskie;384842;1438;135892;232;t02
kujawsko-pomorskie;225194;365;80739;2;t04
lubelskie;259298;482;93671;88;t06
lubuskie;111072;424;40136;101;t08
łódzkie;303685;919;112887;221;t10
małopolskie;374104;557;131940;237;t12
mazowieckie;709525;2536;251819;472;t14
opolskie;114765;256;41432;104;t16
podkarpackie;229491;1013;81739;594;t18
podlaskie;148945;249;51451;0;t20
pomorskie;304082;612;106615;2;t22
śląskie;485448;884;171933;282;t24
świętokrzyskie;128946;189;46776;0;t26
warmińsko-mazurskie;161352;237;54623;1;t28
wielkopolskie;390577;362;133165;140;t30
zachodniopomorskie;195347;544;70540;283;t32
cały kraj;4530783;11069;1606154;2759;t00
