wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5994;94;1145;33;
dolnośląskie;517811;9702;172291;1890;t02
kujawsko-pomorskie;301801;5730;98271;294;t04
lubelskie;349375;7362;118061;755;t06
lubuskie;152171;2878;48716;228;t08
łódzkie;401775;6957;139058;780;t10
małopolskie;496358;8200;163638;609;t12
mazowieckie;949199;17626;314659;2370;t14
opolskie;153866;3343;51159;428;t16
podkarpackie;320948;7105;105432;972;t18
podlaskie;206057;3795;68201;715;t20
pomorskie;402444;7192;136509;1478;t22
śląskie;649869;11572;216606;1683;t24
świętokrzyskie;174966;3377;57800;166;t26
warmińsko-mazurskie;221024;4022;70387;778;t28
wielkopolskie;519581;9219;170904;1894;t30
zachodniopomorskie;258585;4329;86203;480;t32
cały kraj;6081824;112503;2019040;15553;t00
