wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;424;0;1;0;
dolnośląskie;184614;3181;58152;1078;t02
kujawsko-pomorskie;102877;2178;31922;1460;t04
lubelskie;121406;1711;34864;840;t06
lubuskie;51168;938;13710;176;t08
łódzkie;148951;2242;48554;1183;t10
małopolskie;171996;2293;49297;688;t12
mazowieckie;336350;5604;106734;2764;t14
opolskie;56388;756;17460;240;t16
podkarpackie;97061;2243;25286;565;t18
podlaskie;66388;725;18193;273;t20
pomorskie;135779;2394;44482;715;t22
śląskie;233280;4139;74230;2070;t24
świętokrzyskie;60500;872;17478;292;t26
warmińsko-mazurskie;70824;626;21066;200;t28
wielkopolskie;177233;2703;53313;1304;t30
zachodniopomorskie;91850;1003;25908;348;t32
cały kraj;2107089;33608;640650;14196;t00
