wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;299;52;1;0;
dolnośląskie;158809;6568;47038;1392;t02
kujawsko-pomorskie;86156;4274;22874;908;t04
lubelskie;101554;5105;25834;956;t06
lubuskie;42428;2134;10190;438;t08
łódzkie;126163;5286;37615;1012;t10
małopolskie;143831;6726;34660;1066;t12
mazowieckie;286503;12764;82041;2595;t14
opolskie;46905;2139;12425;514;t16
podkarpackie;79019;4587;18182;1474;t18
podlaskie;54924;3297;13272;515;t20
pomorskie;114000;5599;34421;1321;t22
śląskie;194863;9434;53390;2268;t24
świętokrzyskie;50134;3140;12300;712;t26
warmińsko-mazurskie;59458;3376;16213;1062;t28
wielkopolskie;150747;6590;41542;2429;t30
zachodniopomorskie;77922;2962;20148;731;t32
cały kraj;1773715;84033;482146;19393;t00
