wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;2429;167;516;60;
dolnośląskie;311820;12443;111952;5764;t02
kujawsko-pomorskie;178259;8207;65473;3755;t04
lubelskie;208227;9158;74115;4297;t06
lubuskie;89232;3939;32346;2211;t08
łódzkie;245248;9014;90986;4209;t10
małopolskie;299822;11778;105628;5024;t12
mazowieckie;566917;21581;203290;9452;t14
opolskie;94086;4302;33123;1821;t16
podkarpackie;179194;7964;64136;3871;t18
podlaskie;118366;5357;40158;2505;t20
pomorskie;237002;9790;84579;3837;t22
śląskie;389661;17244;136427;6750;t24
świętokrzyskie;102147;3997;36062;1888;t26
warmińsko-mazurskie;126246;5938;41167;2608;t28
wielkopolskie;312079;14201;105621;4843;t30
zachodniopomorskie;158581;6068;55600;2881;t32
cały kraj;3619316;151148;1281179;65776;t00
