wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4055;63;796;0;
dolnośląskie;383354;2985;135638;349;t02
kujawsko-pomorskie;224764;885;80686;145;t04
lubelskie;258686;1069;93484;190;t06
lubuskie;110640;830;40034;95;t08
łódzkie;302626;1482;112615;476;t10
małopolskie;373062;1722;131453;668;t12
mazowieckie;706931;5586;251336;1347;t14
opolskie;114507;434;41328;161;t16
podkarpackie;228429;1579;81145;723;t18
podlaskie;148485;830;51422;49;t20
pomorskie;302920;1490;106576;220;t22
śląskie;484435;2738;171617;593;t24
świętokrzyskie;128757;998;46776;71;t26
warmińsko-mazurskie;161115;791;54622;204;t28
wielkopolskie;390007;2433;132962;545;t30
zachodniopomorskie;194764;1310;70255;400;t32
cały kraj;4517537;27225;1602745;6236;t00
